,Date,sentiment_score,avg_sentiment,ticker,Open,High,Low,Close,Adj Close,Volume,month,day,is_quarter_end,predicted
2375,2019-01-23,0.8793244444444445,Positive,AAPL,38.537498,38.785,37.924999,38.48,37.201569,92522400.0,1,2,0,36.356245385830604
2376,2019-01-24,0.89485,Positive,AAPL,38.5275,38.619999,37.935001,38.174999,36.906708,101766000.0,1,3,0,36.23489279694082
2377,2019-01-25,0.9638176470588237,Positive,AAPL,38.869999,39.532501,38.580002,39.439999,38.129673,134142000.0,1,4,0,37.0012158476865
2380,2019-01-28,0.6295923076923077,Positive,AAPL,38.947498,39.0825,38.415001,39.075001,37.77681,104768400.0,1,0,0,36.9833616776839
2381,2019-01-29,0.405965625,Positive,AAPL,39.0625,39.532501,38.5275,38.669998,37.385262,166348800.0,1,1,0,36.967043563159095
2382,2019-01-30,0.5865377777777778,Positive,AAPL,40.8125,41.537498,40.057499,41.3125,39.939968,244439200.0,1,2,0,38.72927058559391
2383,2019-01-31,0.8683272727272727,Positive,AAPL,41.5275,42.25,41.139999,41.610001,40.227589,162958400.0,1,3,0,39.84463784804804
2384,2019-02-01,0.85575625,Positive,AAPL,38.7225,39.712502,38.557499,39.48,38.16835,148158800.0,2,4,0,37.189984872148266
2387,2019-02-04,0.7731666666666667,Positive,AAPL,47.772499,48.615002,47.762501,48.505001,47.094631,91062800.0,2,0,0,45.994469881919976
2388,2019-02-05,0.5978294117647058,Positive,AAPL,52.459999,53.162498,52.032501,52.287498,50.767143,127985200.0,2,1,0,50.468823563046755
2390,2019-02-07,0.9890375,Positive,AAPL,50.352501,50.782501,50.34,50.682499,49.398319,67740800.0,2,3,0,48.333323534704185
2391,2019-02-08,0.50605,Positive,AAPL,51.3825,51.607498,50.407501,51.005001,49.712643,163448400.0,2,4,0,49.385812521217936
2393,2019-02-10,0.9289499999999999,Positive,AAPL,55.764999,55.895,54.482498,54.740002,53.555717,138449200.0,2,6,0,52.99348457533726
2395,2019-02-12,0.13137777777777776,Positive,AAPL,66.817497,67.0625,65.862503,66.040001,64.805229,94487200.0,2,1,0,53.96653249412361
2396,2019-02-13,0.70379,Positive,AAPL,42.8475,43.119999,42.48,42.544998,41.30793,89960800.0,2,2,0,40.82964367964336
2397,2019-02-14,0.62713,Positive,AAPL,42.427502,42.814999,42.345001,42.700001,41.45842,87342800.0,2,3,0,40.35877983573413
2398,2019-02-15,0.8728833333333333,Positive,AAPL,42.8125,42.924999,42.4375,42.605,41.366173,98507200.0,2,4,0,40.61879458526585
2402,2019-02-19,0.9917166666666667,Positive,AAPL,42.427502,42.860001,42.372501,42.732498,41.489967,75891200.0,2,1,0,40.35877983573413
2403,2019-02-20,0.94455,Positive,AAPL,42.797501,43.330002,42.747501,43.0075,41.756977,104457600.0,2,2,0,41.04004743110116
2404,2019-02-21,0.49206666666666665,Positive,AAPL,42.950001,43.092499,42.575001,42.764999,41.521526,68998800.0,2,3,0,40.82964367964336
2405,2019-02-22,0.9849333333333333,Positive,AAPL,42.895,43.25,42.845001,43.2425,41.98513,75652800.0,2,4,0,41.046060373908475
2408,2019-02-25,0.8890999999999999,Positive,AAPL,43.540001,43.967499,43.487499,43.557499,42.290981,87493600.0,2,0,0,41.68875812239849
2409,2019-02-26,0.39076666666666665,Positive,AAPL,43.427502,43.825001,43.2925,43.5825,42.315266,68280800.0,2,1,0,41.46343454970976
2410,2019-02-27,0.4451,Positive,AAPL,43.302502,43.75,43.182499,43.717499,42.446327,111341600.0,2,2,0,41.415768793297914
2411,2019-02-28,0.9976,Positive,AAPL,43.580002,43.727501,43.23,43.287498,42.028835,112861600.0,2,3,0,41.46343454970976
2412,2019-03-01,0.991725,Positive,AAPL,35.994999,36.43,35.5,35.547501,34.366505,365248800.0,3,4,1,33.866619259474085
2415,2019-03-04,0.9865999999999999,Positive,AAPL,48.3125,49.125,48.287498,48.837502,47.417465,93087200.0,3,0,1,46.65146784698798
2416,2019-03-05,0.24100000000000002,Positive,AAPL,52.7225,52.959999,52.557499,52.9375,51.398247,83569600.0,3,1,1,51.13612536354693
2417,2019-03-06,0.68033,Positive,AAPL,43.900002,44.48,42.567501,43.325001,42.227238,161584400.0,3,2,1,41.641926995017435
2418,2019-03-07,0.5263249999999999,Positive,AAPL,50.82,51.110001,50.672501,51.102501,49.807678,45448000.0,3,3,1,48.333323534704185
2421,2019-03-10,0.993725,Positive,AAPL,54.607498,55.240002,53.782501,55.205002,54.010662,114426000.0,3,6,1,52.293177078390706
2423,2019-03-12,0.6900545454545455,Positive,AAPL,64.577499,64.8825,64.072502,64.862503,63.64975,114430400.0,3,1,1,53.96653249412361
2424,2019-03-13,0.5986625,Positive,AAPL,45.5625,45.825001,45.23,45.427502,44.106613,124130000.0,3,2,1,43.69719182079042
2425,2019-03-14,0.09344545454545455,Positive,AAPL,45.974998,46.025002,45.639999,45.932499,44.596924,94318000.0,3,3,1,43.940157078100675
2426,2019-03-15,0.6230625,Positive,AAPL,46.212502,46.8325,45.935001,46.529999,45.177055,156171600.0,3,4,1,44.389177868105556
2429,2019-03-18,0.9054692307692308,Positive,AAPL,46.450001,47.0975,46.447498,47.005001,45.638241,104879200.0,3,0,1,44.77989062640524
2430,2019-03-19,0.27724444444444446,Positive,AAPL,47.087502,47.247501,46.48,46.6325,45.276569,126585600.0,3,1,1,44.77594124045933
2431,2019-03-20,0.7646333333333334,Positive,AAPL,46.557499,47.372501,46.182499,47.040001,45.672226,124140800.0,3,2,1,44.61237948597231
2432,2019-03-21,0.7764142857142857,Positive,AAPL,47.505001,49.0825,47.452499,48.772499,47.354347,204136800.0,3,3,1,46.144366418863605
2433,2019-03-22,0.732075,Positive,AAPL,48.834999,49.422501,47.695,47.762501,46.373718,169630800.0,3,4,1,46.192088640088315
2436,2019-03-25,0.3942894736842105,Positive,AAPL,47.877499,47.994999,46.650002,47.185001,45.813015,175381200.0,3,0,1,45.38423232554224
2437,2019-03-26,0.49594999999999995,Positive,AAPL,47.915001,48.220001,46.145,46.697498,45.339684,199202000.0,3,1,1,45.00732461829799
2438,2019-03-27,0.6596571428571429,Positive,AAPL,47.1875,47.439999,46.637501,47.1175,45.747482,119393600.0,3,2,1,44.963351230738915
2439,2019-03-28,0.7971142857142858,Positive,AAPL,47.237499,47.389999,46.8825,47.18,45.808159,83121600.0,3,3,1,45.05549273666992
2440,2019-03-29,0.49617500000000003,Positive,AAPL,47.4575,47.52,47.134998,47.487499,46.106716,94256000.0,3,4,1,45.2506273254554
2443,2019-04-01,0.9764444444444444,Positive,AAPL,36.1325,37.137501,35.950001,37.064999,35.83358,234428400.0,4,0,0,34.24321250522239
2444,2019-04-02,0.2694153846153846,Positive,AAPL,41.852501,42.915001,41.82,42.8125,41.390125,125982000.0,4,1,0,40.228599379802844
2445,2019-04-03,0.7552375,Positive,AAPL,43.922501,44.4375,43.4925,43.962502,42.684212,109744800.0,4,2,0,42.03656499411344
2446,2019-04-04,0.61702,Positive,AAPL,48.697498,49.092499,48.285,48.922501,47.499989,76457200.0,4,3,0,46.65598657120109
2451,2019-04-09,0.9946555555555556,Positive,AAPL,52.0975,52.369999,51.830002,52.297501,51.166061,76752400.0,4,1,0,49.85767057660801
2452,2019-04-10,0.9027545454545454,Positive,AAPL,56.41,56.872501,55.9725,56.752499,55.524677,138478800.0,4,2,0,53.95600037487352
2453,2019-04-11,0.7099833333333333,Positive,AAPL,64.332497,64.462502,63.845001,64.375,62.982265,103272000.0,4,3,0,53.96653249412361
2454,2019-04-12,0.9782,Positive,AAPL,65.267502,65.827499,65.169998,65.434998,64.21154,67181600.0,4,4,0,53.96653249412361
2457,2019-04-15,0.9776999999999999,Positive,AAPL,49.645,49.962502,49.502499,49.807499,48.359261,70146400.0,4,0,0,46.78303987819703
2458,2019-04-16,0.749225,Positive,AAPL,49.865002,50.342499,49.639999,49.8125,48.364113,102785600.0,4,1,0,48.333323534704185
2459,2019-04-17,0.5582611111111111,Positive,AAPL,49.884998,50.845001,49.6525,50.782501,49.305897,115627200.0,4,2,0,48.333323534704185
2460,2019-04-18,0.5026818181818182,Positive,AAPL,50.779999,51.037498,50.630001,50.965,49.483093,96783200.0,4,3,0,48.333323534704185
2464,2019-04-22,0.6516000000000001,Positive,AAPL,50.7075,51.235001,50.584999,51.1325,49.645725,77758000.0,4,0,0,49.36707962575488
2465,2019-04-23,0.8051400000000001,Positive,AAPL,51.107498,51.9375,50.974998,51.869999,50.361782,93292000.0,4,1,0,49.37186138779434
2466,2019-04-24,0.64786,Positive,AAPL,51.84,52.119999,51.762501,51.790001,50.284119,70162400.0,4,2,0,49.53736964698493
2467,2019-04-25,0.7437428571428571,Positive,AAPL,51.7075,51.939999,51.279999,51.32,49.827774,74172800.0,4,3,0,49.46619051334419
2468,2019-04-26,0.9891285714285714,Positive,AAPL,51.224998,51.25,50.529999,51.075001,49.589897,74596400.0,4,4,0,49.36707962575488
2471,2019-04-29,0.9218722222222221,Positive,AAPL,51.099998,51.4925,50.965,51.1525,49.665138,88818800.0,4,0,0,49.36707962575488
2472,2019-04-30,0.8307717948717949,Positive,AAPL,50.764999,50.849998,49.7775,50.1675,48.70879,186139600.0,4,1,0,48.35888545235133
2474,2019-05-02,0.541468,Positive,AAPL,43.215,43.77,43.087502,43.544998,42.098297,144406400.0,5,3,0,41.43595161950158
2475,2019-05-03,0.81325,Positive,AAPL,43.985001,44.0,43.634998,43.8825,42.606541,78949600.0,5,4,0,41.993865395694584
2476,2019-05-04,0.9827,Positive,AAPL,49.112499,49.275002,48.982498,49.25,47.817966,74106400.0,5,5,0,46.78303987819703
2478,2019-05-06,0.28098,Positive,AAPL,46.07,46.247501,45.285,45.634998,44.47871,119093600.0,5,0,0,43.99970257146488
2479,2019-05-07,0.98519,Positive,AAPL,50.837502,51.27,50.724998,51.057499,49.763817,69062000.0,5,1,0,49.37186138779434
2480,2019-05-08,0.06507142857142861,Positive,AAPL,49.497501,49.662498,48.145,48.334999,47.110294,209572000.0,5,2,0,46.53049009152727
2481,2019-05-09,0.98874,Positive,AAPL,53.0,53.4925,52.877499,53.32,52.166439,95654800.0,5,3,0,51.13612536354693
2484,2019-05-12,0.27712000000000003,Positive,AAPL,65.947502,66.472504,65.682503,66.394997,65.153587,74424400.0,5,6,0,53.96653249412361
2485,2019-05-13,0.565495238095238,Positive,AAPL,46.927502,47.369999,45.712502,46.43,45.253559,229722400.0,5,0,0,44.597203456661454
2486,2019-05-14,0.2931642857142857,Positive,AAPL,46.602501,47.424999,46.352501,47.165001,45.969948,146118800.0,5,1,0,44.634443730851345
2487,2019-05-15,0.45106250000000003,Positive,AAPL,46.567501,47.9375,46.505001,47.73,46.520622,106178800.0,5,2,0,45.189144459935704
2488,2019-05-16,0.8288454545454546,Positive,AAPL,47.477501,48.1175,47.209999,47.52,46.315948,132125600.0,5,3,0,45.616045790815505
2489,2019-05-17,0.02460000000000001,Positive,AAPL,46.732498,47.724998,46.689999,47.25,46.052784,131516400.0,5,4,0,45.14096796511111
2492,2019-05-20,0.29314545454545454,Positive,AAPL,45.880001,46.087502,45.07,45.772499,44.61272,154449200.0,5,0,0,43.74062169279782
2493,2019-05-21,0.4665307692307692,Positive,AAPL,46.305,47.0,46.174999,46.650002,45.467995,113459200.0,5,1,0,44.353311137750886
2494,2019-05-22,0.4837125,Positive,AAPL,46.165001,46.427502,45.637501,45.695,44.537186,118994400.0,5,2,0,44.229682652676765
2495,2019-05-23,0.478825,Positive,AAPL,44.950001,45.134998,44.452499,44.915001,43.776951,146118800.0,5,3,0,42.81914044617821
2496,2019-05-24,0.44049999999999995,Positive,AAPL,45.049999,45.535,44.654999,44.7425,43.608818,94858800.0,5,4,0,42.965764273536166
2500,2019-05-28,0.7031454545454546,Positive,AAPL,44.73,45.147499,44.477501,44.557499,43.428497,111792800.0,5,1,0,42.80589432210767
2501,2019-05-29,0.26605,Positive,AAPL,44.105,44.837502,44.0,44.345001,43.221397,113924800.0,5,2,0,42.324177248161135
2502,2019-05-30,0.36253636363636366,Positive,AAPL,44.487499,44.807499,44.1675,44.575001,43.44558,84873600.0,5,3,0,42.324177248161135
2503,2019-05-31,0.11264999999999999,Positive,AAPL,44.057499,44.497501,43.747501,43.767502,42.658535,108174400.0,5,4,0,42.330378334005076
